Property Type,Building Size,Address,Property Price,Property Description,Ant Tabs Content,City,Crime_Rate_Percentage,Currency,Bedrooms,Bathrooms,Published On Formatted,Published Date,Last Updated On Formatted,Last Updated Date
House,2407.0,"141 Cinnamon Fern Street, Waterloo, Ontario N2V 0E9",3600.0,"Luxurious 2 storey house in highly desired Vista Hills with top rated schools, 2400 sq ft open concept 4 bedroom plus loft ( ideal for home office). 9 ft ceiling on main floor, bright and airy interior , enjoy the neutral tones throughout, and rich hardwoods on the main level , quality ceramics in foyer, baths and laundry. Lovely in white custom kitchen with walk-in pantry, large island and quartz counter tops. main floor laundry. Oversized primary bedroom suite with large walk in closet and luxury 5pc ensuite with double sink, walk-in shower and separate tub. Within a few minutes driving, you can reach to a diverse range of amenities like Walmart, Costco, Home Sense, Marshalls, Canadian Tire, Winners, Starbucks, and lots of restaurants offering convenience and accessibility to various services and attractions.","Basic Info
Property Type
House
Listing Status
Active
Building Size
2,407.00 sq ft
Rooms
4 bedroom(s), 3 bathroom(s)
Architecture Style
Other
County
Waterloo
Parcel ID
226845312
Provider
Engel & Völkers
Brokerage Office Name
Engel & Völkers Kitchener Waterloo
Brokerage Office Phone
5198000080
Address
141 Cinnamon Fern Street, Waterloo, Ontario N2V 0E9
Show more",waterloo,60.39,USD,4,3,10/05/2025,2025-05-10,10/05/2025,2025-05-10
Apartment,1097.92,"2 Dundas Street, Belleville, Ontario K8P1A1",1972.0,"Welcome to Harbour View apartments! This new building directly overlooks the Belleville Harbour and beautiful Bay of Quinte. Located across from the Moira River and walking distance to the downtown core, this is Luxury Living at its finest! Come home to a unique blend of luxury and comfort with features and finishes that are both stylish and practical. Boasting 9 foot ceilings, refined natural details with a strong focus on both functionality and flair. This executive 2 bedroom suite features a welcoming gourmet kitchen with high-end appliances leading into a generously-sized family room that walks out to your own balcony. Expansive windows allow for a cascade of natural light while the smartly designed open concept floor plan provides you with abundant living space. Feel the rewards of living care-free in a sophisticated well-crafted upscale building that caters to the luxury lifestyle you've always dreamed of, in an area rich with conveniences. Building includes a party room that features a full kitchen, entertaining area and a library / reading area. The main floor commercial area will be home to a walk-in clinic, a physiotherapist and a pharmacy. Only a 20 minute drive from the heart of Prince Edward County, an island in Lake Ontario full of great food, stunning nature and home to several award winning wine makers.","Basic Info
Property Type
Apartment
Building Size
1,097.92 sq ft
Rooms
2 bedroom(s), 2 bathroom(s)
Address
2 Dundas Street, Belleville, Ontario K8P1A1",belleville,70.03,USD,2,2,10/05/2025,2025-05-10,10/05/2025,2025-05-10
House,990.28,"903 - 24 Hanover Road, Brampton, Ontario L6S5K8",2116.0,"Welcome to this FURNISHED Spacious 2-bedroom unit plus den! Enjoy sun filled apartment with large windows and unobstructed views. Ample kitchen cabinetry with bar area. Den offers extra space for office or leasure. Two large bedrooms, with primary bedroom with own washroom. Comes with 1 parking space. All utilities are included, no need to pay extra. No pets allowed as per Condo Rules.","Basic Info
Property Type
House
Building Size
990.28 sq ft
Rooms
1 bedroom(s), 2 bathroom(s)
Address
903 - 24 Hanover Road, Brampton, Ontario L6S5K8",brampton,66.22,USD,1,2,10/05/2025,2025-05-10,10/05/2025,2025-05-10
House,592.02,"1001 - 56 ANNIE CRAIG Drive, Toronto, Ontario M8V0C8",1685.0,"Original 1+1 Unit Combined To A Large Bedroom Condo Unit; Steps To Lake Ontario, Restaurants, TTC, Express Bus To Downtown, Bike/Stroll Along Marine Promenade & Easy Access To QEW/427. Spacious & Bright Unit W/ Partial Lakefront View From The Balcony. Upgraded Extra Large Prim Bdrm With Extra Closet Space. State Of The Art Amenities, 24 Hr Concierge, Indoor Pool/Sauna/Hot Tub/Party Rm/Guest Suites/Gym & More!","Basic Info
Outdoor Feature
Property Type
House
Building Size
592.02 sq ft
Rooms
1 bedroom(s), 1 bathroom(s)
Address
1001 - 56 ANNIE CRAIG Drive, Toronto, Ontario M8V0C8",toronto,60.39,USD,1,1,10/05/2025,2025-05-10,10/05/2025,2025-05-10
House,1496.18,"Main - 484 Donlands Avenue, Toronto, Ontario M4J3S6",3228.0,"Newly Built Custom House in Prime East York Location. Great for Entertaining. Modern Chef Inspired Kitchen w Custom Cabinets, High-End Appliances, Gas Stove, Kitchen Island, Breakfast Bar and Outlets. Walkout to Covered Patio. 4 Large Bedrooms, 3 Washrooms. Primary Bedroom w Walk-In Closet & Spa-like Ensuite. Upper Private Laundry. Mins to Parks, Trails, Golf, Public Transit, Highway 404, Hospital, Danforth, Shops, Restaurants, Downtown & More.","Basic Info
Property Type
House
Building Size
1,496.18 sq ft
Rooms
4 bedroom(s), 3 bathroom(s)
Address
Main - 484 Donlands Avenue, Toronto, Ontario M4J3S6",toronto,60.39,USD,4,3,10/05/2025,2025-05-10,10/05/2025,2025-05-10
House,796.53,"604 - 9255 Jane Street, Vaughan, Ontario L6A0K1",1775.0,"Live in Luxury! Welcome To Palatial Bellaria Tower 4, Spacious One Bdrm With Den. Featuring 9 Ft Ceilings Throughout, Upgraded Cabinets & Granite Counter Tops, Stainless Steel Kitchen Appliances, Unobstructed North West View, Laminate Flooring Through Out W/ Ensuite Bathroom & Powder Room. Luxurious Building Amenities: Gate House Security, 24 Hr Concierge, Gym, Visitor Parking, Patio, Movie Room, Guest Suites & More. Walk To Vaughan Mills Mall, Quick Drive To 400/407, & close to Cortellucci Hospital.","Basic Info
Outdoor Feature
Property Type
House
Building Size
796.53 sq ft
Rooms
2 bedroom(s), 2 bathroom(s)
Address
604 - 9255 Jane Street, Vaughan, Ontario L6A0K1",vaughan,82.27,USD,2,2,10/05/2025,2025-05-10,10/05/2025,2025-05-10
Apartment,516.67,"319 CARLAW Avenue, Toronto, Ontario M4M0A4",1506.0,"Welcome to Worklofts! Experience the best of Leslieville living in this sun-filled, boutique loft at the corner of Carlaw & Dundas. This west-facing unit offers breathtaking views of the CN Tower and skyline ?? equally captivating by day and stunning at night. Featuring 9-ft exposed concrete ceilings, floor-to-ceiling windows, and hardwood floors throughout, this modern loft seamlessly blends industrial character with sleek sophistication. The open-concept kitchen is complete with quartz countertops, stainless steel appliances, and a gas range. Enjoy the private rooftop garden with BBQ area, party room, and on-site business centre. Steps to local cafs, restaurants, boutique shops, and transit. (id:57238)","Basic Info
Property Type
Apartment
Building Size
516.67 sq ft
Rooms
1 bedroom(s), 1 bathroom(s)
Address
319 CARLAW Avenue, Toronto, Ontario M4M0A4",toronto,60.39,USD,1,1,10/05/2025,2025-05-10,10/05/2025,2025-05-10
House,592.02,"2404 - 55 Bremner Blvd Boulevard, Toronto, Ontario M5J0A6",1757.0,"Now available, this beautiful 1+1 bedroom corner suite offers a rare blend of space, style and location in the heart of Toronto's vibrant core. With 9-foot soaring ceilings, expansiveWhether you're heading to a meeting, catching a game or enjoying a quiet night in with windows and an open-concept layout, this unit is filled with natural light and designed for both comfort and functionality. The generous kitchen features a large granite island, ideal for casual dining or entertaining while the den provides a flexible space for a home office or guest area. Thoughtfully maintained and move-in ready, this residence is perfectly suited for professionals or couples looking to be immersed in the city's energy without compromising on quality or convenience. Steps from Union Station, Scotiabank Area, the PATH and countless dining and shopping options. Whether you're heading to a meeting, catching a game or enjoying a quiet night in with skyline views, this is downtown living done right.","Basic Info
Property Type
House
Building Size
592.02 sq ft
Rooms
2 bedroom(s), 1 bathroom(s)
Address
2404 - 55 Bremner Blvd Boulevard, Toronto, Ontario M5J0A6",toronto,60.39,USD,2,1,10/05/2025,2025-05-10,10/05/2025,2025-05-10
House,699.65,"6 - 125 Kendal Ave Avenue, Toronto, Ontario M5R1L8",2145.0,"Be the first to live in this bright, modern 2-bedroom, 2-bathroom unit in the heart of The Annex! Featuring high ceilings, pot lights, brand new appliances, ensuite laundry, private climate control with a high-efficiency heat pump, and internet included. Just a 5-minute walk to the subway and steps from Bloors top shops and restaurants. Street parking available, sub-metered utilities, non-smokers only.","Basic Info
Property Type
House
Building Size
699.65 sq ft
Rooms
2 bedroom(s), 2 bathroom(s)
Address
6 - 125 Kendal Ave Avenue, Toronto, Ontario M5R1L8",toronto,60.39,USD,2,2,10/05/2025,2025-05-10,10/05/2025,2025-05-10
House,1496.18,"3 Evansway Street, Toronto, Ontario M1T1T8",2869.0,"Prestige Detached Houses Neighborhood, Friendly To Kids. Quiet Street W/Little Traffic, Easy Access To 401/404.Great Side-Walk Appeal, Lovely Manageable Garden. Walking Distance To Ttc, Schools, Recreation, Banks, Shops& Restaurants, Park W/Tennis Courts, Splash Pad& Playground, Schools: Bridlewood Ps , Sir John A Macdonald CI. Hi-Effi Furnace, Vinyl Windows, Hardwood Floor Throughout, South-Facing Solarium& Backyard W/Deck, High Ceiling Fin Bsmt W/Family& Study, Not Furnished","Basic Info
Property Type
House
Building Size
1,496.18 sq ft
Rooms
4 bedroom(s), 2 bathroom(s)
Address
3 Evansway Street, Toronto, Ontario M1T1T8",toronto,60.39,USD,4,2,10/05/2025,2025-05-10,10/05/2025,2025-05-10
